profile_id,condition,gender,age_band,race,education,income,party,state
p10404,Funding,Female,60+,Black / African American,Some college or Associate's degree,"$168,000 or more",Republican,Rhode Island
p10405,Funding,Female,30-44,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,Texas
p10406,Funding,Male,18-29,Other,High school diploma / GED,"$100,000 to $167,999",Independent,California
p10407,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Colorado
p10408,Funding,Female,30-44,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Republican,Virginia
p10409,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,Wisconsin
p10410,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,Michigan
p10411,Funding,Female,45-59,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,California
p10412,Funding,Female,45-59,Black / African American,Some college or Associate's degree,"Less than $30,000",Independent,Texas
p10413,Funding,Female,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,California
p10414,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,New York
p10415,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,Georgia
p10416,Funding,Female,60+,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican,Pennsylvania
p10417,Funding,Male,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,California
p10418,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,Massachusetts
p10419,Funding,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,California
p10420,Funding,Female,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,New York
p10421,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Other,Pennsylvania
p10422,Funding,Female,60+,Black / African American,Bachelor's degree,"$30,000 to $55,999",Democrat,California
p10423,Funding,Male,45-59,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,North Carolina
p10424,Funding,Male,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Maryland
p10425,Funding,Male,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,Florida
p10426,Funding,Female,60+,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,South Carolina
p10427,Funding,Male,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,Georgia
p10428,Funding,Female,45-59,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Wisconsin
p10429,Funding,Other,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,Florida
p10430,Funding,Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,New Jersey
p10431,Funding,Male,60+,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,Minnesota
p10432,Funding,Female,18-29,Black / African American,Less than high school,"$30,000 to $55,999",Republican,Illinois
p10433,Funding,Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,Indiana
p10434,Funding,Female,18-29,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican,Louisiana
p10435,Funding,Female,45-59,Black / African American,High school diploma / GED,"$56,000 to $99,999",Republican,New York
p10436,Funding,Male,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Independent,Michigan
p10437,Funding,Other,30-44,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,Pennsylvania
p10438,Funding,Male,18-29,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,Illinois
p10439,Funding,Male,18-29,Hispanic / Latino,Master's degree / Professional degree,"$168,000 or more",Independent,Florida
p10440,Funding,Female,30-44,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,Indiana
p10441,Funding,Female,45-59,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,Michigan
p10442,Funding,Female,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,Tennessee
p10443,Funding,Male,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,California
p10444,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Ohio
p10445,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,California
p10446,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,California
p10447,Funding,Male,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,Utah
p10448,Funding,Female,18-29,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,Maryland
p10449,Funding,Male,60+,Hispanic / Latino,High school diploma / GED,"$100,000 to $167,999",Independent,Texas
p10450,Funding,Male,30-44,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Democrat,Florida
p10451,Funding,Male,60+,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Independent,Texas
p10452,Funding,Male,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,Florida
p10453,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,California
p10454,Funding,Female,60+,Black / African American,Bachelor's degree,"$56,000 to $99,999",Other,Arizona
p10455,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,Missouri
p10456,Funding,Male,18-29,Other,Some college or Associate's degree,"Less than $30,000",Other,North Dakota
p10457,Funding,Female,18-29,White / Caucasian,Less than high school,"Less than $30,000",Other,Alabama
p10458,Funding,Male,60+,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,Pennsylvania
p10459,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,North Carolina
p10460,Funding,Female,60+,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,Ohio
p10461,Funding,Male,18-29,Hispanic / Latino,Less than high school,"$168,000 or more",Independent,Texas
p10462,Funding,Female,18-29,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,California
p10463,Funding,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Other,California
p10464,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Alabama
p10465,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,Washington
p10466,Funding,Female,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,South Carolina
p10467,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,Florida
p10468,Funding,Female,60+,Black / African American,Less than high school,"Less than $30,000",Democrat,Missouri
p10469,Funding,Male,30-44,Other,High school diploma / GED,"Less than $30,000",Other,Louisiana
p10470,Funding,Female,30-44,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Other,Ohio
p10471,Funding,Female,30-44,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent,California
p10472,Funding,Other,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,Florida
p10473,Funding,Male,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,Oklahoma
p10474,Funding,Male,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Alabama
p10475,Funding,Female,45-59,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Florida
p10476,Funding,Female,60+,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Independent,Georgia
p10477,Funding,Male,18-29,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,Tennessee
p10478,Funding,Female,30-44,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Republican,Texas
p10479,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,California
p10480,Funding,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,New York
p10481,Funding,Male,18-29,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,Nebraska
p10482,Funding,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,Iowa
p10483,Funding,Female,30-44,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Independent,Maryland
p10484,Funding,Female,18-29,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Independent,California
p10485,Funding,Female,18-29,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,California
p10486,Funding,Female,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Democrat,Indiana
p10487,Funding,Female,30-44,White / Caucasian,Less than high school,"$100,000 to $167,999",Independent,Florida
p10488,Funding,Female,60+,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,Pennsylvania
p10489,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Illinois
p10490,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,Illinois
p10491,Funding,Female,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Democrat,California
p10492,Funding,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,Florida
p10493,Funding,Female,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,Kentucky
p10494,Funding,Male,60+,Black / African American,Some college or Associate's degree,"Less than $30,000",Independent,Florida
p10495,Funding,Male,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,Tennessee
p10496,Funding,Female,30-44,White / Caucasian,Less than high school,"$30,000 to $55,999",Independent,North Dakota
p10497,Funding,Male,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,Virginia
p10498,Funding,Male,60+,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,South Carolina
p10499,Funding,Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,Indiana
p10500,Funding,Female,60+,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,Michigan
p10501,Funding,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,Kansas
p10502,Funding,Female,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,Texas
p10503,Funding,Female,60+,Black / African American,Bachelor's degree,"$56,000 to $99,999",Independent,Colorado
p10504,Funding,Male,60+,Asian / Asian American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,New Mexico
p10505,Funding,Male,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Other,Kentucky
p10506,Funding,Male,18-29,White / Caucasian,Less than high school,"$100,000 to $167,999",Independent,Maryland
p10507,Funding,Female,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,Louisiana
p10508,Funding,Female,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,Georgia
p10509,Funding,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Virginia
p10510,Funding,Male,18-29,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,Virginia
p10511,Funding,Female,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Independent,Illinois
p10512,Funding,Female,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,New York
p10513,Funding,Male,18-29,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,Tennessee
p10514,Funding,Male,30-44,Hispanic / Latino,High school diploma / GED,"$56,000 to $99,999",Republican,Arizona
p10515,Funding,Male,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Connecticut
p10516,Funding,Female,30-44,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,Kentucky
p10517,Funding,Male,18-29,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Republican,Massachusetts
p10518,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,New York
p10519,Funding,Other,18-29,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,New York
p10520,Funding,Female,60+,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Independent,Michigan
p10521,Funding,Female,60+,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Other,California
p10522,Funding,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Republican,Massachusetts
p10523,Funding,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,Arizona
p10524,Funding,Male,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,Ohio
p10525,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Florida
p10526,Funding,Other,30-44,Black / African American,High school diploma / GED,"Less than $30,000",Republican,Texas
p10527,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,Oklahoma
p10528,Funding,Male,18-29,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Florida
p10529,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,Arkansas
p10530,Funding,Male,30-44,Black / African American,Bachelor's degree,"$56,000 to $99,999",Republican,Texas
p10531,Funding,Female,60+,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,Texas
p10532,Funding,Male,18-29,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Michigan
p10533,Funding,Male,60+,Black / African American,High school diploma / GED,"Less than $30,000",Independent,Illinois
p10534,Funding,Male,60+,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent,Wisconsin
p10535,Funding,Female,60+,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,Florida
p10536,Funding,Female,60+,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Republican,New York
p10537,Funding,Female,60+,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Republican,Georgia
p10538,Funding,Female,60+,White / Caucasian,Less than high school,"$100,000 to $167,999",Democrat,New York
p10539,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,Pennsylvania
p10540,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Other,Texas
p10541,Funding,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Independent,Michigan
p10542,Funding,Male,30-44,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Independent,South Carolina
p10543,Funding,Male,30-44,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Republican,Connecticut
p10544,Funding,Male,45-59,Hispanic / Latino,Master's degree / Professional degree,"$56,000 to $99,999",Independent,Missouri
p10545,Funding,Male,60+,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,Minnesota
p10546,Funding,Male,18-29,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Independent,Georgia
p10547,Funding,Male,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Texas
p10548,Funding,Male,45-59,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,Florida
p10549,Funding,Other,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Other,South Carolina
p10550,Funding,Female,30-44,White / Caucasian,Less than high school,"$56,000 to $99,999",Democrat,Oklahoma
p10551,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Georgia
p10552,Funding,Male,45-59,Black / African American,High school diploma / GED,"$168,000 or more",Democrat,Texas
p10553,Funding,Female,45-59,Hispanic / Latino,Bachelor's degree,"$30,000 to $55,999",Independent,Florida
p10554,Funding,Male,18-29,White / Caucasian,Doctorate degree / Ph.D.,"$56,000 to $99,999",Independent,Pennsylvania
p10555,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,Florida
p10556,Funding,Other,18-29,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,North Carolina
p10557,Funding,Female,60+,Asian / Asian American,Some college or Associate's degree,"$168,000 or more",Independent,New York
p10558,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,Ohio
p10559,Funding,Male,30-44,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,Connecticut
p10560,Funding,Female,18-29,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,Maryland
p10561,Funding,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Minnesota
p10562,Funding,Male,60+,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Republican,Montana
p10563,Funding,Male,60+,Black / African American,High school diploma / GED,"Less than $30,000",Independent,Ohio
p10564,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,Arizona
p10565,Funding,Female,45-59,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Independent,Illinois
p10566,Funding,Male,30-44,White / Caucasian,Less than high school,"$56,000 to $99,999",Independent,Texas
p10567,Funding,Male,45-59,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Republican,Michigan
p10568,Funding,Female,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Republican,South Carolina
p10569,Funding,Male,45-59,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,Illinois
p10570,Funding,Female,18-29,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Independent,Virginia
p10571,Funding,Male,60+,Black / African American,Less than high school,"$56,000 to $99,999",Independent,California
p10572,Funding,Male,60+,Other,Bachelor's degree,"$30,000 to $55,999",Independent,Ohio
p10573,Funding,Female,45-59,Black / African American,High school diploma / GED,"$100,000 to $167,999",Other,Maryland
p10574,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,Illinois
p10575,Funding,Female,30-44,White / Caucasian,Less than high school,"$100,000 to $167,999",Republican,Idaho
p10576,Funding,Female,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,Indiana
p10577,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$168,000 or more",Republican,California
p10578,Funding,Female,45-59,Black / African American,Less than high school,"$168,000 or more",Other,New Jersey
p10579,Funding,Female,30-44,White / Caucasian,Bachelor's degree,"Less than $30,000",Other,Arizona
p10580,Funding,Male,30-44,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,Georgia
p10581,Funding,Male,30-44,Black / African American,Some college or Associate's degree,"$100,000 to $167,999",Independent,New Jersey
p10582,Funding,Other,45-59,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Republican,Wisconsin
p10583,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,Nevada
p10584,Funding,Male,30-44,Hispanic / Latino,Bachelor's degree,"$100,000 to $167,999",Independent,Washington
p10585,Funding,Female,18-29,Hispanic / Latino,Less than high school,"Less than $30,000",Republican,Florida
p10586,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Virginia
p10587,Funding,Female,45-59,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Republican,Texas
p10588,Funding,Male,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,California
p10589,Funding,Female,18-29,Hispanic / Latino,High school diploma / GED,"$168,000 or more",Independent,Texas
p10590,Funding,Female,45-59,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Independent,Florida
p10591,Funding,Male,45-59,Black / African American,Some college or Associate's degree,"Less than $30,000",Independent,Texas
p10592,Funding,Female,18-29,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,South Carolina
p10593,Funding,Female,60+,Hispanic / Latino,Less than high school,"Less than $30,000",Republican,Alaska
p10594,Funding,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,New York
p10595,Funding,Female,60+,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Independent,Maryland
p10596,Funding,Male,18-29,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,Texas
p10597,Funding,Female,30-44,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Maryland
p10598,Funding,Male,60+,Other,High school diploma / GED,"$168,000 or more",Republican,Pennsylvania
p10599,Funding,Male,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Texas
p10600,Funding,Male,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,Florida
p10601,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,North Carolina
p10602,Funding,Male,18-29,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,Oklahoma
p10603,Funding,Male,30-44,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Indiana
p10604,Funding,Female,18-29,Hispanic / Latino,Less than high school,"$100,000 to $167,999",Democrat,Arkansas
p10605,Funding,Male,60+,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,Florida
p10606,Funding,Male,18-29,Asian / Asian American,Some college or Associate's degree,"$100,000 to $167,999",Republican,Florida
p10607,Funding,Female,30-44,White / Caucasian,Less than high school,"$168,000 or more",Republican,Georgia
p10608,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,California
p10609,Funding,Male,30-44,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Independent,New York
p10610,Funding,Male,30-44,Hispanic / Latino,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Maryland
p10611,Funding,Female,18-29,Black / African American,High school diploma / GED,"$100,000 to $167,999",Republican,Nevada
p10612,Funding,Female,18-29,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,Louisiana
p10613,Funding,Female,60+,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,Ohio
p10614,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,Texas
p10615,Funding,Male,45-59,Asian / Asian American,Bachelor's degree,"$30,000 to $55,999",Independent,California
p10616,Funding,Female,30-44,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,Pennsylvania
p10617,Funding,Female,45-59,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,Alabama
p10618,Funding,Female,30-44,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Independent,Hawaii
p10619,Funding,Male,30-44,Black / African American,High school diploma / GED,"$168,000 or more",Democrat,Tennessee
p10620,Funding,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Republican,Texas
p10621,Funding,Male,18-29,Black / African American,Master's degree / Professional degree,"Less than $30,000",Independent,Texas
p10622,Funding,Male,60+,Other,High school diploma / GED,"$100,000 to $167,999",Republican,Florida
p10623,Funding,Female,45-59,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Independent,Michigan
p10624,Funding,Male,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,Florida
p10625,Funding,Female,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,Washington
p10626,Funding,Male,60+,Black / African American,Less than high school,"$56,000 to $99,999",Independent,New Jersey
p10627,Funding,Male,45-59,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Independent,Pennsylvania
p10628,Funding,Male,18-29,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,Minnesota
p10629,Funding,Male,60+,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,Ohio
p10630,Funding,Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Georgia
p10631,Funding,Male,45-59,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California
p10632,Funding,Female,18-29,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Independent,Massachusetts
p10633,Funding,Male,60+,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,North Carolina
p10634,Funding,Male,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Virginia
p10635,Funding,Male,60+,Asian / Asian American,Master's degree / Professional degree,"$56,000 to $99,999",Republican,New Mexico
p10636,Funding,Female,30-44,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Kentucky
p10637,Funding,Female,60+,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California
p10638,Funding,Female,45-59,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Republican,Texas
p10639,Funding,Female,18-29,Black / African American,Bachelor's degree,"$30,000 to $55,999",Republican,Arizona
p10640,Funding,Female,60+,White / Caucasian,Less than high school,"$56,000 to $99,999",Republican,New Jersey
p10641,Funding,Male,60+,Black / African American,Bachelor's degree,"$168,000 or more",Democrat,New Mexico
p10642,Funding,Female,60+,Asian / Asian American,High school diploma / GED,"$30,000 to $55,999",Republican,Florida
p10643,Funding,Male,45-59,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,California
p10644,Funding,Male,18-29,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Independent,Hawaii
p10645,Funding,Male,60+,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,Maryland
p10646,Funding,Female,60+,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Democrat,Missouri
p10647,Funding,Male,45-59,Black / African American,Bachelor's degree,"Less than $30,000",Democrat,New York
p10648,Funding,Male,45-59,Hispanic / Latino,Less than high school,"$56,000 to $99,999",Republican,California
p10649,Funding,Male,60+,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Republican,Illinois
p10650,Funding,Male,45-59,Hispanic / Latino,Less than high school,"Less than $30,000",Independent,Washington
p10651,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"Less than $30,000",Independent,Rhode Island
p10652,Funding,Male,45-59,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,California
p10653,Funding,Male,60+,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Other,Arizona
p10654,Funding,Male,60+,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Independent,Connecticut
p10655,Funding,Female,30-44,Black / African American,High school diploma / GED,"$100,000 to $167,999",Republican,Missouri
p10656,Funding,Male,30-44,Asian / Asian American,Some college or Associate's degree,"$56,000 to $99,999",Independent,Nevada
p10657,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Washington
p10658,Funding,Male,18-29,Hispanic / Latino,Master's degree / Professional degree,"$30,000 to $55,999",Independent,Wisconsin
p10659,Funding,Female,60+,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Connecticut
p10660,Funding,Female,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,Pennsylvania
p10661,Funding,Other,45-59,Other,Bachelor's degree,"$56,000 to $99,999",Independent,California
p10662,Funding,Female,60+,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,Florida
p10663,Funding,Male,30-44,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,California
p10664,Funding,Other,18-29,Black / African American,Some college or Associate's degree,"$56,000 to $99,999",Independent,Pennsylvania
p10665,Funding,Female,18-29,Hispanic / Latino,Bachelor's degree,"Less than $30,000",Republican,California
p10666,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,Illinois
p10667,Funding,Female,45-59,White / Caucasian,Bachelor's degree,"Less than $30,000",Other,North Carolina
p10668,Funding,Male,60+,Black / African American,Bachelor's degree,"$30,000 to $55,999",Independent,Michigan
p10669,Funding,Male,60+,White / Caucasian,Bachelor's degree,"Less than $30,000",Independent,Washington
p10670,Funding,Female,45-59,White / Caucasian,High school diploma / GED,"$168,000 or more",Independent,Massachusetts
